Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
aroused,All,24,7.97,1.0,6.63,2.7,6.14,1.97,20
aroused,Male,24,8.0,1.15,6.22,3.07,6.1,2.69,20
aroused,Female,24,7.96,0.96,6.77,2.61,6.15,1.69,20
arrogant,All,25,3.69,2.4,5.65,2.23,5.14,2.71,2
arrogant,Male,25,4.69,2.8,5.12,2.74,5.88,2.53,2
arrogant,Female,25,2.9,1.71,6.1,1.62,4.55,2.76,2
art,All,643,6.68,2.1,4.86,2.88,5.3,2.33,208
art,Male,643,5.7,2.36,4.6,2.6,4.75,2.49,208
art,Female,643,7.5,1.44,5.08,3.13,5.75,2.13,208
assassin,All,26,3.09,2.09,6.28,2.53,4.33,2.68,6
assassin,Male,26,4.33,2.19,5.73,2.74,4.86,2.57,6
assassin,Female,26,2.5,1.8,6.53,2.42,4.09,2.73,6
assault,All,27,2.03,1.55,7.51,2.28,3.94,3.1,15
assault,Male,27,2.55,1.86,7.17,2.25,5.73,2.65,15
assault,Female,27,1.78,1.35,7.7,2.32,3.09,2.98,15
astonished,All,28,6.56,1.61,6.58,2.22,5.16,1.79,6
astonished,Male,28,6.5,1.55,6.44,2.34,5.18,1.94,6
astonished,Female,28,6.6,1.7,6.7,2.18,5.15,1.69,6
astronaut,All,501,6.66,1.6,5.28,2.11,5.2,1.95,2
astronaut,Male,501,6.79,1.64,4.92,2.1,5.33,1.83,2
astronaut,Female,501,6.54,1.58,5.62,2.1,5.08,2.08,2
athletics,All,644,6.61,2.08,6.1,2.29,6.12,2.12,9
athletics,Male,644,6.76,2.05,6.71,2.08,6.19,1.99,9
athletics,Female,644,6.45,2.16,5.45,2.37,6.05,2.31,9
autumn,All,29,6.3,2.14,4.51,2.5,5.15,1.85,22
autumn,Male,29,5.93,1.83,4.87,2.45,4.93,1.62,22
autumn,Female,29,6.47,2.27,4.34,2.55,5.25,1.97,22
avalanche,All,645,3.29,1.95,5.54,2.37,3.61,2.0,1
avalanche,Male,645,3.62,2.16,5.29,2.22,4.0,1.9,1
avalanche,Female,645,2.95,1.7,5.8,2.55,3.2,2.07,1
avenue,All,646,5.5,1.37,4.12,2.01,5.4,1.53,46
avenue,Male,646,5.15,1.23,4.4,1.85,5.05,1.57,46
avenue,Female,646,5.82,1.44,3.86,2.17,5.73,1.45,46
awed,All,30,6.7,1.38,5.74,2.31,5.3,2.03,5
awed,Male,30,6.35,1.5,6.05,2.16,4.75,2.27,5
awed,Female,30,7.05,1.19,5.42,2.48,5.85,1.63,5
baby,All,31,8.22,1.2,5.53,2.8,5.0,2.8,62
baby,Male,31,7.71,1.49,6.25,2.49,4.56,2.94,62
baby,Female,31,8.65,0.67,4.95,2.96,5.35,2.7,62
bake,All,647,6.17,1.71,5.1,2.3,5.49,1.88,12
bake,Male,647,6.32,1.25,4.7,2.54,5.22,1.63,12
bake,Female,647,6.05,2.06,5.45,2.06,5.71,2.08,12
bandage,All,648,4.54,1.75,3.9,2.07,4.52,1.89,4
bandage,Male,648,4.0,1.81,3.8,1.77,4.3,1.98,4
bandage,Female,648,5.05,1.56,4.19,2.23,4.73,1.83,4
bankrupt,All,32,2.0,1.31,6.21,2.79,3.27,2.39,5
bankrupt,Male,32,2.24,1.52,5.71,2.82,2.94,2.43,5
bankrupt,Female,32,1.85,1.16,6.56,2.77,3.48,2.38,5
banner,All,649,5.4,0.83,3.83,1.95,4.8,1.57,8
banner,Male,649,5.35,0.67,3.65,1.73,4.8,1.77,8
banner,Female,649,5.45,0.96,4.19,2.02,4.81,1.4,8
bar,All,650,6.42,2.05,5.0,2.83,5.47,1.94,82
bar,Male,650,7.0,2.08,5.5,2.7,5.85,2.21,82
bar,Female,650,5.91,1.93,4.78,2.81,5.13,1.66,82
barrel,All,651,5.05,1.46,3.36,2.28,4.89,1.57,24
barrel,Male,651,5.3,1.66,3.75,2.71,4.9,2.1,24
barrel,Female,651,4.83,1.27,3.04,1.85,4.88,0.99,24
basket,All,547,5.45,1.15,3.63,2.02,5.76,1.45,17
basket,Male,547,5.6,1.22,3.36,2.04,5.92,1.29,17
basket,Female,547,5.31,1.09,3.88,2.01,5.62,1.6,17
bastard,All,33,3.36,2.16,6.07,2.15,4.17,2.4,12
bastard,Male,33,3.2,2.11,6.38,2.5,4.5,2.18,12
bastard,Female,33,3.44,2.21,5.94,2.02,4.03,2.51,12
bath,All,502,7.33,1.45,4.16,2.31,6.41,1.87,26
bath,Male,502,7.24,1.36,4.76,1.85,5.72,1.49,26
bath,Female,502,7.42,1.55,3.58,2.58,7.08,1.98,26
bathroom,All,548,5.55,1.36,3.88,1.72,5.65,1.59,18
bathroom,Male,548,5.92,1.38,3.84,1.89,5.72,1.7,18
bathroom,Female,548,5.19,1.27,3.92,1.57,5.58,1.5,18
bathtub,All,652,6.69,1.57,4.36,2.59,5.76,1.76,4
bathtub,Male,652,6.64,1.68,5.36,2.26,5.73,1.88,4
bathtub,Female,652,6.75,1.48,3.25,2.53,5.8,1.67,4
beach,All,34,8.03,1.59,5.53,3.07,5.44,2.52,61
beach,Male,34,8.47,0.87,6.88,2.19,5.81,2.56,61
beach,Female,34,7.65,1.95,4.45,3.28,5.15,2.52,61
beast,All,653,4.23,2.41,5.57,2.61,4.89,2.29,7
beast,Male,653,5.1,2.51,6.0,2.29,5.65,2.39,7
beast,Female,653,3.5,2.11,5.21,2.84,4.25,2.05,7
beautiful,All,654,7.6,1.64,6.17,2.34,6.29,1.81,127
beautiful,Male,654,7.23,2.0,6.36,2.46,6.1,1.61,127
beautiful,Female,654,8.0,1.03,5.95,2.24,6.5,2.01,127
beauty,All,35,7.82,1.16,4.95,2.57,5.53,2.1,71
beauty,Male,35,7.47,1.13,5.6,2.16,5.33,1.5,71
beauty,Female,35,8.04,1.15,4.52,2.76,5.65,2.44,71
